"Unnamed: 0","Unnamed: 1","Unnamed: 2","Unnamed: 3","Unnamed: 4","Unnamed: 5","Unnamed: 6","Unnamed: 7","Unnamed: 8","Unnamed: 9","Unnamed: 10","Unnamed: 11","Unnamed: 12","Unnamed: 13","Unnamed: 14","Unnamed: 15"
""," "," "," "," "," "," "," "," "," "," "," AET 04111 Basic Mathematics/SRT 04102 Basic Mathematics"," "," AET 04112 Communication Skills"," "," "
""," "," "," "," "," "," "," "," "," "," "," LR 01 - B 20(160)"," "," LR 01 - B 20(160)"," "," "
"Wednesday 11/01/2023"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," AET 04110 Basic Automobile Engineering"," -X-"," AET 04106 Geometrical Drawing"," -X-"," ---"
""," "," "," "," "," "," "," "," "," "," "," LR 02 - B 02"," "," RWF 03 - B 15(40)"," "," "
"Thursday 12/01/2023"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"
"Friday 13/01/2023"," ---"," -X-"," ---"," -X-"," ---"," -X-"," "BCMERV(54)","  BCAELT(20)""," -X-"," ---"," -X-"," ---"," -X-"," "BCAELT(20)","  BCERE (30)","  BCMERV(54)","  BCTSE (30)""," -X-"," ---"
""," "," "," "," "," "," "," AET 04114 Engineering Science"," "," "," "," "," "," AET 04116 Basics of Railway Systems"," "," "
""," "," "," "," "," "," "," CLASS V(88)"," "," "," "," "," "," LWF 03 - B 15(120)+RWF 03 - B 15(80)"," "," "
"Saturday 14/01/2023"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"
"Sunday 15/01/2023"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"
"Monday 16/01/2023"," ---"," -X-"," ---"," -X-"," ---"," -X-"," "BCAELT(20)","  BCMERV(54)""," -X-"," ---"," -X-"," ---"," -X-"," AET 04104 Basic Machine Elements"," -X-"," ---"
""," "," "," "," "," "," "," AET 04115 Workshop Technology I"," "," "," "," "," "," LR 02 - B 02"," "," "
""," "," "," "," "," "," "," CLASS VII (154)"," "," "," "," "," "," "," "," "
""," Timetable generated with FET 5.30.3 on 1/3/23 1:09 PM"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"back to the top"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"NATIONAL INSTITUTE OF TRANSPORT TEST 2 TIMETABLE FOR ACADEMIC YEAR 2022_2023"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
""," BCAME(25)"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
""," 07:00-08:00"," 08:00-08:30"," 08:30-09:30"," 09:30-10:00"," 10:00-11:00"," 11:00-11:30"," 11:30-12:30"," 12:30-13:00"," 13:00-14:00"," 14:00-14:30"," 14:30-15:30"," 15:30-16:00"," 16:00-17:00"," 17:00-17:30"," 17:30-18:30"
"Monday 09/01/2023"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"
"Tuesday 10/01/2023"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"
"Wednesday 11/01/2023"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," AMT 04101 Basic Aviation Mathematics"," -X-"," ---"," -X-"," ---"
""," "," "," "," "," "," "," "," "," "," "," AME 2"," "," "," "," "
"Thursday 12/01/2023"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"
"Friday 13/01/2023"," AMT 04105 Communication Skills"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"
""," LR 01 - Hangar"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"Saturday 14/01/2023"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"
"Sunday 15/01/2023"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"
